2023-12-01 12:13:51,517 INFO test
2023-12-01 12:14:58,781 INFO test
2023-12-01 12:21:57,387 INFO test
2023-12-01 12:24:50,090 INFO test
2023-12-01 12:25:30,851 INFO test
2023-12-01 12:26:42,555 INFO test
2023-12-01 12:40:31,672 INFO test
2023-12-01 12:40:44,184 INFO test
2023-12-01 12:46:38,215 INFO test
2023-12-01 13:04:06,557 INFO test
2023-12-01 13:04:08,882 WARNING There was an error managing chrome (error sending request for url (https://googlechromelabs.github.io/chrome-for-testing/known-good-versions-with-downloads.json): error trying to connect: proxy authentication required); using driver found in the cache
2023-12-01 13:05:40,597 INFO test
2023-12-01 13:14:02,361 INFO test
2023-12-01 14:43:40,208 INFO test
2023-12-01 14:47:10,239 INFO test
2023-12-01 14:50:48,940 INFO test
2023-12-01 14:58:56,432 INFO test
2023-12-01 15:00:54,113 INFO test
2023-12-01 15:04:04,543 INFO test
2023-12-01 15:05:47,685 INFO test
2023-12-01 15:06:50,915 INFO test
2023-12-01 15:13:58,594 INFO test
2023-12-01 15:16:54,842 INFO test
2023-12-01 15:18:47,765 INFO test
2023-12-01 15:23:03,063 INFO test
2023-12-01 15:24:52,396 INFO test
2023-12-01 15:32:07,752 INFO test
2023-12-01 15:34:13,056 INFO test
2023-12-01 15:42:58,204 INFO test
2023-12-01 17:13:56,355 INFO test
2023-12-01 17:20:07,760 INFO test
2023-12-01 17:24:49,431 INFO test
2023-12-01 17:26:12,431 INFO test
2023-12-01 17:29:19,927 INFO test
2023-12-02 22:06:25,365 INFO test
2023-12-02 23:01:29,038 INFO test
2023-12-02 23:24:36,949 INFO test
2023-12-02 23:36:20,634 INFO test
2023-12-02 23:36:55,016 INFO test
2023-12-03 05:29:22,685 INFO test
2023-12-03 05:32:43,103 INFO test
2023-12-03 05:33:33,247 INFO test
2023-12-03 05:42:41,451 INFO test
2023-12-03 06:00:30,758 INFO test
2023-12-03 06:01:27,025 INFO test
2023-12-03 06:03:35,350 INFO test
2023-12-03 06:04:17,325 INFO test
2023-12-03 06:07:42,595 INFO test
2023-12-03 06:12:31,556 INFO test
2023-12-03 06:23:04,421 INFO test
2023-12-03 06:24:33,772 INFO test
2023-12-03 06:26:23,720 INFO test
2023-12-03 06:34:59,817 INFO test
2023-12-03 06:35:57,675 INFO test
2023-12-03 06:38:37,769 INFO test
2023-12-03 07:01:24,949 INFO test
2023-12-03 07:03:46,894 INFO test
2023-12-03 07:28:04,212 INFO test
2023-12-03 07:29:48,342 INFO test
2023-12-03 07:39:45,772 INFO test
2023-12-03 07:41:06,500 INFO test
2023-12-03 07:42:30,139 INFO test
